Drug Reaction,Allergist 
Malaria,Infectious Disease Specialist
Allergy,Allergist 
Hypothyroidism,Thyroidologists
Psoriasis,Dermotologists
GERD,Internist
Chronic cholestasis,Gastroenterologist
hepatitis A,Gastroenterologist
Osteoarthristis,Orthepedists
(vertigo) Paroymsal  Positional Vertigo,ENT
Hypoglycemia,Endocrinologist
Acne,Dermotologists
Diabetes,Endocrinologist
Impetigo,Dermotologists
Hypertension,Primary Care Physician
Peptic ulcer diseae,Gastroenterologist
Dimorphic hemorrhoids(piles),Primary Care Physician
Common Cold,Family Practice
Chicken pox,Family Practice
Cervical spondylosis,Orthepedists
Hyperthyroidism,Endocrinologist
Urinary tract infection,Urologist
Varicose veins,Phlebologist
AIDS,Infectious Disease Specialist
Paralysis (brain hemorrhage),Neurologis
Typhoid,Infectious Disease Specialist
Hepatitis B,Hepatologist
Fungal infection,Infectious Disease Specialist
Hepatitis C,Hepatologist
Migraine,Neurologis
"Bronchial ""Asthma""",Pulmonologist
Alcoholic hepatitis,Hepatologist
Jaundice,Blood Specialist
Hepatitis E,Hepatologist
Dengue,Infectious Disease Specialist
Hepatitis D,Hepatologist
Heart attack,Cardiologist
Pneumonia,Pulmonologist
Arthritis,Rheumatologists
Gastroenteritis,Gastroenterologist
Tuberculosis,Pulmonologist
